DatLicense,DatURL,DatKeyword,DatPublisher,DatCreator,DatOwner,DatLanguage,DatLevel,DatSize,DatName,DatPublication,DatDescription,DatVersion,DatDomain,DatFileFormat
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/bagsh-ajilchdiin-ners.json, "people, university, staff", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 1.0 MB, "NUM Professors", "July 2025", "List of professors of National University of Mongolia", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/baiguullagiin-butets.json, "university, organization, structure", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 53.3 KB, NUM Structures, "July 2025", "List of structures of National University of Mongolia", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/paper-conference.json, "conference, paper, research, publication", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 7.4 MB, "NUM Conference Papers", "July 2025", "List of conference papers published by people affiliated with National University of Mongolia", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/paper-journals.json, "paper, journal, publication, research, conference", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 6.9 MB, "NUM Journal Papers", "July 2025", "List of journal papers published by people affiliated with National University of Mongolia", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/project-member-sisi.json, "project, staff, sisi", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 669.5 KB, "NUM Project Members with SISI", "July 2025", "List of staff members who are part of projects at National University of Mongolia", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/project-overview.json, "project, research, status, funding", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 3.1 MB, "NUM Project Overview", "July 2025", "Overview of projects at National University of Mongolia, including research status and funding", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/v-authors.json, "authors, people, university, staff", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 2.2 MB, "NUM Authors", "July 2025", "List of authors affiliated with National University of Mongolia, including the research they are involved in", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/NUM/v-journal.json, "journal, publication, research, paper, conference", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Mongolian", L3, 693.3 KB, "NUM Journals", "July 2025", "List of journals", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/UniTN/DU-UNITN-mindprod-2016-23.json, "papers, research, pubblication", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Italian", L3, 36.4 MB, "UNITN MindProd 2016-23",  "July 2025", "List of papers and research publications from University of Trento between the years 2016 and 2023", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/UniTN/DU-UNITN-organizations.json, "university, organization, structure", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Italian", L3, 207.6 KB, "UNITN Organizations", "July 2025", "List of organizations and structures belonging to the University of Trento", 1.1, Digital University, "JSON"
"Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)", https://github.com/GaiaPizzuti/KGE-project/blob/main/Phase%205%20-%20Entity%20Definition/UniTN/DU-UNITN-people.json, "people, university, staff", "DataScientia Foundation", "Riccardo Germenia, Gaia Pizzuti", "University of Trento", "English, Italian", L3, 2.1 MB,  "UNITN People", "July 2025", "List of people affiliated with the University of Trento, including professors, researchers, and staff members", 1.1, Digital University, "JSON"